"Feature_ID","RC20.MSKC.00573","RC20.MSKC.00574","RC20.MSKC.00575","RC20.MSKC.00576","RC20.MSKC.00577","RC20.MSKC.00581","RC20.MSKC.00582","RC20.MSKC.00583","RC20.MSKC.00584","RC20.MSKC.00585","RC20.MSKC.00589","RC20.MSKC.00590","RC20.MSKC.00591","RC20.MSKC.00592","RC20.MSKC.00593","RC20.MSKC.00597","RC20.MSKC.00598","RC20.MSKC.00599","RC20.MSKC.00600","RC20.MSKC.00601","RC20.MSKC.00605","RC20.MSKC.00606","RC20.MSKC.00607","RC20.MSKC.00608","RC20.MSKC.00609","RC20.MSKC.00621","RC20.MSKC.00623","RC20.MSKC.00624","RC20.MSKC.00625","RC20.MSKC.00627","RC20.MSKC.00629","RC20.MSKC.00630","RC20.MSKC.00631","RC20.MSKC.00632","RC20.MSKC.00635","RC20.MSKC.00638","RC20.MSKC.00639","RC20.MSKC.00640","RC20.MSKC.00642","RC20.MSKC.00644","RC20.MSKC.00645","RC20.MSKC.00646","RC20.MSKC.00647","RC20.MSKC.00648","RC20.MSKC.00650","RC20.MSKC.00651","RC20.MSKC.00652","RC20.MSKC.00654","RC20.MSKC.00655","RC20.MSKC.00656","RC20.MSKC.00657","RC20.MSKC.00658","RC20.MSKC.00578","RC20.MSKC.00579","RC20.MSKC.00580","RC20.MSKC.00586","RC20.MSKC.00587","RC20.MSKC.00588","RC20.MSKC.00594","RC20.MSKC.00595","RC20.MSKC.00596","RC20.MSKC.00602","RC20.MSKC.00603","RC20.MSKC.00604","RC20.MSKC.00610","RC20.MSKC.00611","RC20.MSKC.00612","RC20.MSKC.00626","RC20.MSKC.00628","RC20.MSKC.00633","RC20.MSKC.00637","RC20.MSKC.00641","RC20.MSKC.00643","RC20.MSKC.00649","RC20.MSKC.00653","RC20.MSKC.00659"
"Metab373",19.0318345493376,19.1517027604201,18.9404909470878,18.7737950387723,18.8338801812201,18.6604493462339,18.6724222825246,18.6751526971347,19.0856550199531,18.528402915698,19.8217973503747,18.6736377826119,18.9337632486105,18.3582645363628,19.0503270028991,18.2796426821835,19.185537013182,19.0671950790751,18.6093139141015,20.6738489442532,18.6291144345329,20.3766395640808,18.7762924901258,18.3762687207566,18.7812370447742,18.914702216697,18.3862719298543,18.5593462861341,19.3255421158649,18.5076475834683,18.0668347363235,18.8302936591724,19.1863211941045,18.4171540345962,18.8301517694648,18.8656567432646,18.803834921527,18.7559711610189,19.248697520673,18.4293499457505,18.1612102014372,20.1766897303329,19.786557108139,19.6341151035707,18.7065767949722,19.2951160340861,18.1141626969812,18.7567559134638,19.4087938315849,19.3213576940458,18.1703104721949,21.186042824431,17.8450195822715,18.0460374622047,17.7350980351912,18.0646187684685,18.3344754420457,18.3309288809301,18.0031560648285,17.9576459246099,18.2950557851694,18.3091505678063,18.0981172532678,18.723352705346,19.0945648919643,18.5239851321328,18.8593505047464,18.0030877370377,18.0842630853763,17.9614028377187,18.2608843281315,18.0996267044241,18.2770787339323,17.7995090987403,17.7141733243934,18.6225931030166
"Metab807",13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,14.2322325737522,13.3471473564214,15.8796230080277,13.3471473564214,13.3471473564214,16.2443575090239,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,15.4743711408856,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,16.4749750221066,13.3471473564214,13.3471473564214,13.3471473564214,13.3471473564214,18.1419801011255,13.3471473564214,16.5172875352139,16.2204063663703,13.3471473564214,16.7399460475419,16.6836805154358,13.3471473564214,18.0985073838832,17.882263579839,17.7961984087088,18.9477911215643,16.113629922062,19.3951298587775,17.0552519949108,16.1609056293158,18.2027693033102,16.5787194896072,16.3263700660676,17.275413019267,16.9704795124824,15.7901289599843,17.1215471811698,17.8707833429586,17.7514684613998,18.4337730886327,17.7141758693451,19.0349813744171,17.3892063927922,15.5102250426806,17.6182418087685,16.8747076846556
"Metab806",13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,15.4860536933449,13.2111756130188,17.325372725878,13.2111756130188,14.1876869674423,18.2240977728775,13.2111756130188,15.5931864816205,13.2111756130188,13.2111756130188,15.9156196129313,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,13.2111756130188,17.910025349349,15.3200359912156,13.2111756130188,13.2111756130188,13.2111756130188,14.3903771274503,13.2111756130188,17.124202375959,13.2111756130188,13.2111756130188,17.8900104365344,15.898268841939,13.2111756130188,13.2111756130188,13.2111756130188,21.5969817741071,17.3470336199384,18.5222599408948,18.9160774288425,16.2989340675837,19.6945142021122,18.170657527791,13.2111756130188,21.0347338921169,20.3636361305864,21.0741994367302,21.9142965606958,18.2813095258524,22.0141138866644,19.6849795137034,19.051312250142,20.9108796926341,18.4683502569882,18.364862874202,19.8928333729026,18.8896529214024,17.0494958462009,19.6102169658314,19.7503822427486,20.2924045851403,21.0639827431149,21.3922345380558,21.8496423135287,19.9674680252852,17.060057984805,20.0656122194937,18.1698559030395
"Metab808",14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,16.2292151997582,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,15.1635219477555,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,15.0132357307127,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,17.3459795588254,14.3256978087307,14.3256978087307,14.3256978087307,14.3256978087307,18.6123571354943,14.3256978087307,16.9521652778358,17.360931862959,16.3174202955599,18.8199899049899,15.5130247385394,14.3256978087307,19.4545673924602,19.2878476930303,18.6983436213466,19.5537070159589,15.2623820188267,20.5296116949581,17.659026099576,16.6082487931423,18.0935865061036,17.301561931675,16.5107896593427,19.4841142623447,17.1896698804197,14.63626832262,18.0059319809716,19.7057157934743,19.6023551750017,18.91350827338,18.7359406694615,19.9389186026681,19.1001341062606,14.9024916200936,18.0648727765473,16.5408694945563
"Metab197",21.2954381689333,21.3020400204987,20.0002896298038,21.4103646080248,20.3851083838797,22.2676250755169,21.3466362595796,21.1981825372558,22.2080168979284,21.4638660419643,23.537703979133,19.317736603515,20.5218912527177,20.9164427838822,24.0981331155125,20.9928444417395,22.3560001856784,22.1333502694608,23.996946497796,18.6438002379453,20.3430405912792,20.5935024336798,20.5836929117096,20.209891770099,19.7819409702952,21.1031839213576,21.3228023914603,23.5274003745776,24.8189438395553,25.2742216823723,20.69866030264,20.1488485184546,19.1800122555029,20.3706418275591,22.1337930291191,17.9581058471452,20.1384455800008,19.48303650524,22.0106744769267,20.6858954883017,21.5776504063376,19.7996609623527,19.6085221896171,19.8449997977835,23.2442481077399,21.1108913486173,23.4112267794572,22.0248869594651,23.751420123665,23.1514703353049,23.1938202185296,21.4992655983686,20.4472740125537,20.2866163374839,20.402153491414,19.8551554922671,19.5192331640847,19.7954400508832,20.0636421367966,20.1641053874636,20.1260419394226,20.8058907683253,21.2140629746927,21.4436638614469,20.7449637498364,20.5315168171,20.7332545705234,20.9168037813559,20.7316417838869,20.5216910023967,19.886444886014,20.3228790984481,21.067340169295,20.3864745741341,20.7911213555282,20.8972157583149
"Metab445",25.3248969717144,25.1493769757529,25.491949561962,25.0939735122987,26.0419323140436,27.5339173631227,27.9471529469931,27.9142670987167,27.4272807161744,28.3397494377506,24.6538226714418,27.3072488487649,27.0054881777871,24.1720143055301,25.7576467866598,22.8388029277885,27.2571221897576,27.2090804278258,25.9881353533728,19.3677528096315,24.5776545793414,23.6088431001485,27.0285104479945,26.9553984513203,25.2055211063491,27.7882835607215,27.5483196996404,26.6825890008314,26.0874626301937,25.3608384934591,27.0421851462487,26.3573662023906,26.1559120171189,28.01079687586,26.0338148583343,26.7816751305897,26.7155307318539,28.008756105048,24.9979524554219,24.6292922267732,26.4863182155499,20.9601567084397,20.4811100878697,21.417669146775,24.1145156351774,19.0778391890273,24.1041941511398,22.5078128271253,24.9787977010891,25.3111710575154,24.4489594101011,19.828858732198,25.0061722574443,24.8472431325526,25.2986350969746,24.5071866632294,25.9028195595442,24.2254413740481,23.5679781072228,25.9431447892753,24.080114137857,24.3610705053304,25.2194287628969,25.189452725864,24.5941019277975,25.7258380694424,25.0730111784331,25.530518577963,25.2409157711071,25.4937143574796,23.6850705041366,24.7317696645098,24.6755691024174,25.6982750090236,25.0238646076322,21.1902313909641
"Metab927",20.5693144646324,19.6091216707192,20.660263769877,20.3543322288716,21.2256376903932,20.766140201539,21.1793736304944,20.6317944102211,20.340509688416,20.104633282111,20.0235932839655,19.8889602493445,21.0330464423553,19.6709529314261,20.0106562351686,19.492448769339,20.1270124696192,20.5937304357602,20.4747234221989,17.9522095788474,15.908468732432,15.908468732432,19.5691192611671,19.8763086960079,18.5662758284023,20.2480298794829,20.353871166824,19.9146501939017,20.8803091548662,22.5692084316886,20.7073492869959,20.5536768350496,20.534779244254,20.6717374440226,21.4597574581505,18.1676362976578,19.9760900316291,18.9849472813162,18.0319418653443,20.3999806402084,20.9736684878886,20.2356657453562,15.908468732432,19.4102985356477,20.7218470671857,15.908468732432,21.4850935074177,19.7822190213878,21.9293800407182,21.8040015151792,21.8108054011648,15.908468732432,24.0915007783974,23.8440992645895,23.3593073012079,22.4175008207409,20.3245069906066,21.667282558005,20.7252533358867,20.9722721441237,22.4878320083767,23.7022450994372,24.5106995345449,23.7533749081864,21.9087711934375,21.5551849499256,21.7896562844559,24.9955199996304,22.46355979693,23.2660664137151,22.6622267468712,21.5084143711866,23.8814159960336,22.0709464060371,23.2947921554073,18.4212482260957
"Metab599",19.6024105412063,19.9614740804004,19.7759998722464,19.9826106326636,20.3030246502183,20.3136559216308,20.2182522431456,20.3302779258904,20.7320557147693,20.29575360025,20.5186450832465,21.5732831173472,21.4468708310429,20.1607070535259,21.3672216493773,19.7719422276708,20.459596210662,20.5855909853281,22.7623301831776,22.3446918833874,18.4195854640296,20.2475589471457,19.7923058811065,19.6387876040259,19.8083073590322,24.2250808689722,20.7624934058581,19.4873335149496,20.3206841475228,20.7510531677736,21.2198464046907,21.1450539837208,21.2595455782231,21.4975098789025,20.7589449835455,20.2255208642387,19.833066130101,20.5264398938868,18.6266203066831,20.0288791710833,20.8364998950176,18.4195854640296,18.4195854640296,19.6340489427685,20.6784362224516,22.5251863569505,19.2519195196031,19.9458046584123,21.7058460547344,21.5696190387725,20.0681064073485,21.4206035299531,21.7412302314868,21.5190635773652,21.5376150917557,21.9805892946497,21.5340396019897,22.1772779067602,20.66216658995,20.9123837769401,20.9577699327812,21.8179199700696,21.5031734832975,21.6960505542654,22.8821903842961,21.2990397693629,22.8006996741101,22.0108624602416,23.5638149640485,22.2159553796284,19.927175345571,22.1202085490177,23.6022621060292,21.3112940412204,21.732461225071,19.9622530726717
"Metab594",25.9154128661043,26.1735952866799,26.4975826376852,26.5744628441443,26.4483639640556,26.0523901348288,25.9505135027033,25.8953497166481,25.5772368586719,26.2339013389124,26.2674544459902,26.6867835029682,25.5428679668358,25.7859603437398,26.43082790325,26.5955410040843,27.2697675694727,26.680489798806,27.0858250906301,26.9503406814767,25.3453955219996,26.6801093532106,25.8876897752722,25.8391877523099,25.7538876243703,26.3411406188672,27.9397295475497,26.5420204755401,25.6479991492401,25.0203910664509,27.220919916454,26.9405143324247,27.1858848448728,26.5922560496303,27.8613218777694,26.2244984347898,26.1281089103182,26.1003248394322,25.5877852136895,26.1820209139346,25.2759110918227,25.0834376589744,25.2280541145089,26.0540620142053,25.7311072318225,27.1963811168654,25.6453030966999,25.6932836497734,24.1054358592918,23.9860444286476,25.0452227632874,27.5445541526147,24.8305472896218,24.8490283071262,25.0249454511323,24.9500680916545,25.4049386975403,24.5060751085917,26.2830992957903,25.3726674821818,25.3972990924256,26.4088777029272,26.1401430272891,25.1657763733975,24.4054047875669,25.5890558033179,24.1451519692637,25.5932753268071,24.9627256025641,24.2127130475358,25.7035530730499,25.2273235891285,24.9807774049931,25.9752013057275,24.562867483204,25.1400556409213
"Metab591",27.8618950346768,28.0242954975382,28.1828299778471,27.9907389832883,27.7901162422066,27.1019341635285,27.4082436042694,27.2341681473128,27.1637776046129,27.8396475310036,27.462683275765,27.5888811525426,27.0121554777947,27.8495400631211,27.5803223220033,28.1023040636206,27.6826305387137,27.2487783323351,27.2929794615097,26.7588958006546,27.2174744961439,28.1994788107653,28.2590303192185,27.7988908375901,27.6496510367576,27.884823866537,27.495840485945,27.4313732579102,27.3066739323567,26.9831107049464,27.1410342315474,26.9791289934489,27.3732977970538,27.6841987840878,26.6757399525351,27.9968031515041,27.4652128683436,26.9090401345273,25.9540210503378,28.1967522500508,27.4891680209186,25.7045150594674,25.559483825087,27.1222132438017,27.2150448352102,25.7938783183445,27.4091355985117,28.002302497115,26.0192525631177,27.1110744746551,27.4470244793165,25.9758891222802,27.2860202102818,27.2709540155561,27.4012450920362,27.4064598412693,27.5214645375922,27.1531716001114,28.2484134247274,27.7773665120403,27.9380512932666,27.9949317830358,27.603165275164,27.1890755256753,27.1815501819114,27.6209850394056,26.7940203493526,27.1363359126359,27.1691221846274,26.5883597040538,27.8056246825946,27.5599747231478,26.7605138627489,27.8607288353344,27.1608207557512,27.401493156037
