"Feature_ID","Symbol"
"SLC8A1-AS1","SLC8A1-AS1"
"LOC100128593","LOC100128593"
"CDC42P3","CDC42P3"
"ACVR2B-AS1","ACVR2B-AS1"
"HPN-AS1","HPN-AS1"
"LINC01531","LINC01531"
"LINC02346","LINC02346"
"OST4","OST4"
"RBPMS-AS1","RBPMS-AS1"
"LOC100128770","LOC100128770"
"LINC00476","LINC00476"
"LINC01349","LINC01349"
"SRRM2-AS1","SRRM2-AS1"
"GPR158-AS1","GPR158-AS1"
"LINC01003","LINC01003"
"VPS9D1-AS1","VPS9D1-AS1"
"LOC100128885","LOC100128885"
"FAM66B","FAM66B"
"GATA6-AS1","GATA6-AS1"
"ZBTB42","ZBTB42"
"LINC01310","LINC01310"
"MAPT-AS1","MAPT-AS1"
"LOC100128993","LOC100128993"
"PCBP3-AS1","PCBP3-AS1"
"LOC100129034","LOC100129034"
"BCAR3-AS1","BCAR3-AS1"
"CCNYL4","CCNYL4"
"UNQ6494","UNQ6494"
"KTN1-AS1","KTN1-AS1"
"SIGLEC10-AS1","SIGLEC10-AS1"
"KHDC1L","KHDC1L"
"LOC100129138","LOC100129138"
"LOC100129148","LOC100129148"
"LOC100129175","LOC100129175"
"ZSCAN16-AS1","ZSCAN16-AS1"
"MATN1-AS1","MATN1-AS1"
"SLC39A12-AS1","SLC39A12-AS1"
"DEFB131B","DEFB131B"
"SMIM27","SMIM27"
"LINC01160","LINC01160"
"C1orf68","C1orf68"
"LOC100129316","LOC100129316"
"LINC02291","LINC02291"
"NRADDP","NRADDP"
"SMIM10L1","SMIM10L1"
"C9orf92","C9orf92"
"GABPB1-AS1","GABPB1-AS1"
"FAM106C","FAM106C"
"MSTO2P","MSTO2P"
"RPL19P12","RPL19P12"
"DDC-AS1","DDC-AS1"
"DPY19L1P1","DPY19L1P1"
"LINC01546","LINC01546"
"MKRN2OS","MKRN2OS"
"ZNF37BP","ZNF37BP"
"ETDB","ETDB"
"SOD2-OT1","SOD2-OT1"
"TEX13C","TEX13C"
"LOC100129534","LOC100129534"
"ZNF730","ZNF730"
"LINC02035","LINC02035"
"FAM47E","FAM47E"
"LINC00462","LINC00462"
"LOC100129617","LOC100129617"
"LOC100129620","LOC100129620"
"LOC100129636","LOC100129636"
"TCF24","TCF24"
"FGF13-AS1","FGF13-AS1"
"IZUMO3","IZUMO3"
