Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_00059,88.040257,4.897518,L-Alanine;D-Alanine,L-Alanine|D-Alanine,1A|1A,C3H7NO2|C3H7NO2,C00041|C00133,HMDB0000161|HMDB0001310,5950|71080,20,20,100,100,0,1,1
neg_00060,129.091920,1.213765,Heptanoic acid,Heptanoic acid,1A,C7H14O2,C17714,HMDB0000666,8094,20,20,100,100,0,1,1
neg_00061,182.012707,2.060090,,,,,,,,19,20,95,100,0,0,0
neg_00062,145.061652,5.033666,L-Glutamine,L-Glutamine,1A,C5H10N2O3,C00064,HMDB0000641,5961,20,20,100,100,0,1,1
neg_00063,227.201375,1.064039,Myristic acid,Myristic acid,1A,C14H28O2,C06424,HMDB0000806,11005,20,20,100,100,0,1,1
neg_00064,279.123325,1.147750,,,,,,,,20,20,100,100,0,0,0
neg_00065,745.501826,0.974876,,,,,,,,20,20,100,100,0,0,0
neg_00066,133.991564,2.067056,,,,,,,,20,20,100,100,0,0,0
neg_00067,210.931274,4.283172,,,,,,,,20,20,100,100,0,0,0
neg_00069,293.175345,1.079001,,,,,,,,20,20,100,100,0,0,0
neg_00071,94.924924,4.304189,,,,,,,,20,20,100,100,0,0,0
neg_00072,318.095305,4.730395,,,,,,,,20,20,100,100,0,0,0
neg_00073,174.040443,5.041295,N-Acetyl-L-Aspartic acid,N-Acetyl-L-Aspartic acid,1A,C6H9NO5,C01042,HMDB0000812,65065,20,20,100,100,0,1,1
neg_00074,129.019127,5.295904,Itaconate,Itaconate,1A,C5H6O4,C00490,HMDB0002092,811,17,20,85,100,0,1,1
neg_00075,161.045310,2.056763,,,,,,,,18,20,90,100,0,0,0
neg_00076,98.966690,4.255513,,,,,,,,20,20,100,100,0,0,0
neg_00077,323.001447,1.285981,,,,,,,,2,14,10,70,0,0,0
neg_00078,249.021592,4.938775,,,,,,,,20,20,100,100,0,0,0
neg_00079,101.060630,2.059184,,,,,,,,20,20,100,100,0,0,0
neg_00080,117.019137,5.313892,Succinic acid;Methylmalonate,Succinic acid|Methylmalonate,1A|1A,C4H6O4|C4H6O4,C00042|C02170,HMDB0000254|HMDB0000202,1110|487,20,20,100,100,0,1,1
