Feature_ID,row m/z,row retention time,row identity (all IDs),Metabolite,Mapping Type,FormulaMapped,KEGG,HMDB,PubChem,row number of detected peaks,Number of non-zero peaks,Percent pre-gap peaks,Percent non-zero peaks,Heavy-labeled flag,Identified flag,Non-heavy identified flag
neg_01056,167.107438,1.116312,,,,,,,,20,20,100,100,0,0,0
neg_01057,353.199830,1.027744,,,,,,,,12,20,60,100,0,0,0
neg_01058,74.961761,4.121078,,,,,,,,20,20,100,100,0,0,0
neg_01059,183.102361,1.234993,,,,,,,,20,20,100,100,0,0,0
neg_01060,154.947146,4.300001,,,,,,,,9,20,45,100,0,0,0
neg_01061,251.033994,2.151448,,,,,,,,20,20,100,100,0,0,0
neg_01063,693.470497,0.980416,,,,,,,,5,20,25,100,0,0,0
neg_01065,368.037174,4.525136,,,,,,,,19,20,95,100,0,0,0
neg_01066,182.058567,4.906823,Phosphocholine,Phosphocholine,1A,C5H14NO4P,C00588,HMDB0001565,1014,20,20,100,100,0,1,1
neg_01067,179.055748,4.731774,Alpha-D-Glucose,Alpha-D-Glucose,1A,C6H12O6,C00031,HMDB0003345,79025,8,20,40,100,0,1,1
neg_01068,499.050790,4.943637,,,,,,,,20,20,100,100,0,0,0
neg_01069,249.185852,1.064378,,,,,,,,20,20,100,100,0,0,0
neg_01070,167.037517,1.127823,,,,,,,,14,20,70,100,0,0,0
neg_01071,173.056452,3.338423,N-Alpha-Acetyl-L-Asparagine,N-Alpha-acetyl-L-Asparagine,1A,C6H10N2O4,,HMDB0006028,99715,20,20,100,100,0,1,1
neg_01072,256.118743,1.466707,,,,,,,,12,20,60,100,0,0,0
neg_01073,102.055878,3.311354,,,,,,,,15,20,75,100,0,0,0
neg_01075,303.059218,3.373003,,,,,,,,10,20,50,100,0,0,0
neg_01076,229.011487,5.190455,,,,,,,,20,20,100,100,0,0,0
neg_01077,200.015072,4.269799,,,,,,,,20,20,100,100,0,0,0
neg_01078,216.928065,5.599723,,,,,,,,20,20,100,100,0,0,0
neg_01080,816.537894,1.135924,,,,,,,,20,20,100,100,0,0,0
neg_01081,128.891970,4.324086,,,,,,,,9,20,45,100,0,0,0
neg_01082,209.066238,4.248462,,,,,,,,20,20,100,100,0,0,0
neg_01083,154.880438,4.336248,,,,,,,,14,20,70,100,0,0,0
neg_01084,169.097997,14.871983,,,,,,,,19,20,95,100,0,0,0
neg_01085,282.083931,3.975112,Guanosine,Guanosine,1A,C10H13N5O5,C00387,HMDB0000133,135398635,20,20,100,100,0,1,1
neg_01086,247.043396,1.140038,,,,,,,,19,20,95,100,0,0,0
neg_01087,328.061533,4.266303,,,,,,,,20,20,100,100,0,0,0
neg_01088,270.797558,4.339857,,,,,,,,9,19,45,95,0,0,0
neg_01090,438.299091,2.028036,,,,,,,,13,20,65,100,0,0,0
neg_01091,292.015316,4.664392,,,,,,,,5,20,25,100,0,0,0
neg_01093,127.014684,2.055221,,,,,,,,20,20,100,100,0,0,0
neg_01094,318.028141,2.211217,,,,,,,,20,20,100,100,0,0,0
neg_01096,318.736746,3.041120,,,,,,,,20,20,100,100,0,0,0
neg_01098,197.154400,1.098133,,,,,,,,20,20,100,100,0,0,0
neg_01099,231.955121,5.044078,,,,,,,,16,20,80,100,0,0,0
neg_01100,763.558817,1.149948,,,,,,,,20,20,100,100,0,0,0
neg_01101,204.065525,2.087010,,,,,,,,15,20,75,100,0,0,0
neg_01102,162.998083,13.947159,,,,,,,,20,20,100,100,0,0,0
neg_01103,120.012261,4.177168,,,,,,,,20,20,100,100,0,0,0
neg_01104,412.234682,1.266831,,,,,,,,5,20,25,100,0,0,0
neg_01105,254.030229,2.719982,,,,,,,,17,20,85,100,0,0,0
neg_01106,181.000109,5.369890,,,,,,,,19,20,95,100,0,0,0
neg_01107,348.020013,4.220298,,,,,,,,2,16,10,80,0,0,0
neg_01108,162.921547,13.929723,,,,,,,,20,20,100,100,0,0,0
neg_01109,452.277730,2.022241,,,,,,,,18,20,90,100,0,0,0
neg_01110,189.040189,3.164780,,,,,,,,20,20,100,100,0,0,0
neg_01111,218.077854,4.306107,,,,,,,,20,20,100,100,0,0,0
neg_01116,203.986383,13.968891,,,,,,,,20,20,100,100,0,0,0
neg_01117,234.047982,4.212872,,,,,,,,20,20,100,100,0,0,0
neg_01121,396.071168,2.838868,,,,,,,,20,20,100,100,0,0,0
neg_01122,213.149379,1.102178,,,,,,,,20,20,100,100,0,0,0
neg_01123,215.936324,5.732815,,,,,,,,18,20,90,100,0,0,0
neg_01124,316.953138,5.676896,,,,,,,,17,20,85,100,0,0,0
neg_01125,714.506874,1.055491,,,,,,,,17,20,85,100,0,0,0
neg_01127,183.015719,5.109647,,,,,,,,2,20,10,100,0,0,0
neg_01128,212.074789,1.200488,,,,,,,,19,20,95,100,0,0,0
neg_01129,155.009736,3.023042,Orotate,Orotate,1A,C5H4N2O4,C00295,HMDB0000226,1492348,2,20,10,100,0,1,1
neg_01130,131.967635,13.949167,,,,,,,,20,20,100,100,0,0,0
neg_01133,165.091766,1.190775,,,,,,,,20,20,100,100,0,0,0
neg_01134,217.119001,2.065983,,,,,,,,20,20,100,100,0,0,0
neg_01136,225.043690,1.163293,,,,,,,,8,20,40,100,0,0,0
neg_01137,278.000040,5.372309,,,,,,,,20,20,100,100,0,0,0
neg_01138,205.082596,3.611428,,,,,,,,20,20,100,100,0,0,0
neg_01140,300.039012,4.518238,,,,,,,,20,20,100,100,0,0,0
neg_01142,764.509872,1.068945,,,,,,,,15,20,75,100,0,0,0
neg_01143,321.173518,1.056694,,,,,,,,7,20,35,100,0,0,0
neg_01145,288.949223,6.471550,,,,,,,,20,20,100,100,0,0,0
neg_01146,294.885055,4.160182,,,,,,,,7,20,35,100,0,0,0
neg_01147,209.118031,1.238689,,,,,,,,20,20,100,100,0,0,0
neg_01149,143.975577,5.038942,,,,,,,,16,20,80,100,0,0,0
neg_01150,164.977735,13.950408,,,,,,,,20,20,100,100,0,0,0
neg_01151,336.326878,1.157213,,,,,,,,9,20,45,100,0,0,0
neg_01153,270.974972,2.634687,,,,,,,,20,20,100,100,0,0,0
neg_01154,161.027473,5.321007,,,,,,,,14,20,70,100,0,0,0
neg_01155,208.845051,4.345374,,,,,,,,10,20,50,100,0,0,0
neg_01156,209.056426,4.821459,,,,,,,,20,20,100,100,0,0,0
neg_01157,182.986357,5.028315,,,,,,,,12,20,60,100,0,0,0
neg_01160,251.018370,4.244010,,,,,,,,14,20,70,100,0,0,0
neg_01161,346.878161,4.311820,,,,,,,,7,18,35,90,0,0,0
neg_01162,108.020166,2.119151,,,,,,,,15,20,75,100,0,0,0
neg_01163,164.955471,13.945249,,,,,,,,20,20,100,100,0,0,0
neg_01164,233.934169,4.308065,,,,,,,,7,17,35,85,0,0,0
neg_01165,292.058077,5.042848,,,,,,,,20,20,100,100,0,0,0
neg_01166,223.093263,4.213025,,,,,,,,18,20,90,100,0,0,0
neg_01168,283.068007,3.843537,Xanthosine,Xanthosine,1A,C10H12N4O6,C01762,HMDB0000299,64959,20,20,100,100,0,1,1
neg_01169,362.236614,1.056258,,,,,,,,20,20,100,100,0,0,0
neg_01171,426.993554,4.093664,,,,,,,,2,16,10,80,0,0,0
neg_01172,223.133562,1.152478,Methyl Jasmonate,Methyl Jasmonate,1A,C13H20O3,C11512,HMDB0036583,5281929,17,20,85,100,0,1,1
neg_01173,314.905055,5.604246,,,,,,,,7,20,35,100,0,0,0
neg_01174,189.087848,4.653792,,,,,,,,16,20,80,100,0,0,0
neg_01175,271.039115,4.123312,,,,,,,,3,20,15,100,0,0,0
neg_01176,324.060672,4.279255,,,,,,,,5,18,25,90,0,0,0
neg_01177,135.000892,4.136011,,,,,,,,17,20,85,100,0,0,0
neg_01178,828.573851,1.086240,,,,,,,,18,20,90,100,0,0,0
neg_01179,200.996948,5.031529,,,,,,,,13,20,65,100,0,0,0
neg_01180,178.084269,4.212328,,,,,,,,18,20,90,100,0,0,0
neg_01182,96.952041,4.288066,,,,,,,,20,20,100,100,0,0,0
neg_01183,180.079245,4.221855,,,,,,,,17,20,85,100,0,0,0
neg_01185,189.087782,3.159814,,,,,,,,20,20,100,100,0,0,0
neg_01186,272.999398,4.937686,,,,,,,,19,20,95,100,0,0,0
neg_01187,262.906955,13.916610,,,,,,,,20,20,100,100,0,0,0
neg_01188,235.991309,5.843877,,,,,,,,20,20,100,100,0,0,0
neg_01189,147.042662,4.839809,,,,,,,,20,20,100,100,0,0,0
neg_01190,238.801464,4.211702,,,,,,,,8,20,40,100,0,0,0
neg_01191,191.056182,4.172248,Quinate,Quinate,1A,C7H12O6,C00296,HMDB0003072,6508,10,20,50,100,0,1,1
neg_01192,181.050401,2.475260,Homovanillate;3-(4-Hydroxyphenyl)lactate,Homovanillate|3-(4-Hydroxyphenyl)lactate,1A|1A,C9H10O4|C9H10O4,C05582|C03672,HMDB0000118|HMDB0000755,1738|9548580,20,20,100,100,0,1,1
neg_01193,185.081701,2.057986,,,,,,,,16,20,80,100,0,0,0
neg_01194,403.147998,4.813556,,,,,,,,19,20,95,100,0,0,0
neg_01195,491.093109,4.085410,,,,,,,,13,19,65,95,0,0,0
neg_01196,135.058561,4.135389,,,,,,,,20,20,100,100,0,0,0
neg_01197,305.068309,6.354617,,,,,,,,20,20,100,100,0,0,0
neg_01198,237.124084,4.231837,,,,,,,,13,20,65,100,0,0,0
neg_01199,175.072106,3.413013,,,,,,,,20,20,100,100,0,0,0
neg_01200,292.067129,4.707696,,,,,,,,19,20,95,100,0,0,0
neg_01202,189.076534,4.293678,,,,,,,,19,20,95,100,0,0,0
neg_01203,143.071105,1.191453,,,,,,,,19,20,95,100,0,0,0
neg_01204,269.139291,1.110953,,,,,,,,16,20,80,100,0,0,0
neg_01205,112.971388,2.308546,,,,,,,,20,20,100,100,0,0,0
neg_01207,336.817155,14.579246,,,,,,,,20,20,100,100,0,0,0
neg_01208,870.584233,1.144093,,,,,,,,20,20,100,100,0,0,0
neg_01209,447.133487,1.042813,,,,,,,,3,20,15,100,0,0,0
neg_01210,484.849473,13.955138,,,,,,,,19,20,95,100,0,0,0
neg_01211,692.780231,13.953298,,,,,,,,9,20,45,100,0,0,0
neg_01212,228.867722,13.928027,,,,,,,,20,20,100,100,0,0,0
neg_01213,170.996660,3.753663,,,,,,,,18,20,90,100,0,0,0
neg_01214,215.960145,4.865514,,,,,,,,8,20,40,100,0,0,0
neg_01217,267.160016,1.114687,,,,,,,,18,20,90,100,0,0,0
neg_01219,154.981889,5.890431,,,,,,,,20,20,100,100,0,0,0
neg_01220,326.880429,4.134680,,,,,,,,11,19,55,95,0,0,0
neg_01221,249.031684,1.144188,,,,,,,,10,20,50,100,0,0,0
neg_01223,266.803605,4.344101,,,,,,,,9,19,45,95,0,0,0
neg_01224,120.045310,1.419850,,,,,,,,16,20,80,100,0,0,0
neg_01225,269.957933,13.955899,,,,,,,,20,20,100,100,0,0,0
neg_01226,252.923941,5.569231,,,,,,,,16,20,80,100,0,0,0
neg_01227,151.096664,4.839966,,,,,,,,10,20,50,100,0,0,0
neg_01228,103.014762,3.190381,,,,,,,,20,20,100,100,0,0,0
neg_01229,185.012232,2.156650,,,,,,,,9,20,45,100,0,0,0
neg_01230,311.222495,1.080697,,,,,,,,20,20,100,100,0,0,0
neg_01232,188.986776,13.956488,,,,,,,,19,20,95,100,0,0,0
neg_01233,504.272619,1.148981,,,,,,,,14,20,70,100,0,0,0
neg_01234,215.164884,1.102818,Omega-hydroxydodecanoic acid,Omega-hydroxydodecanoic acid,1A,C12H24O3,C08317,HMDB0002059,79034,20,20,100,100,0,1,1
neg_01235,771.741518,13.949268,,,,,,,,3,20,15,100,0,0,0
neg_01237,330.068698,3.243103,,,,,,,,20,20,100,100,0,0,0
neg_01238,321.081255,4.296738,,,,,,,,12,20,60,100,0,0,0
neg_01239,218.066607,4.836234,,,,,,,,20,20,100,100,0,0,0
neg_01240,156.066422,2.073650,N-Acetyl-L-Proline,N-Acetyl-L-Proline,1A,C7H11NO3,,HMDB0094701,66141,19,20,95,100,0,1,1
neg_01242,130.998320,5.290644,,,,,,,,18,20,90,100,0,0,0
neg_01244,188.986045,1.616020,,,,,,,,20,20,100,100,0,0,0
neg_01245,302.927634,4.304915,,,,,,,,5,16,25,80,0,0,0
neg_01247,791.485344,0.986638,,,,,,,,20,20,100,100,0,0,0
neg_01248,187.072094,4.320668,,,,,,,,12,20,60,100,0,0,0
neg_01249,299.100518,4.737682,,,,,,,,19,20,95,100,0,0,0
neg_01250,337.204981,1.009374,,,,,,,,12,20,60,100,0,0,0
neg_01251,215.837281,3.016298,,,,,,,,20,20,100,100,0,0,0
neg_01252,357.179240,4.186937,,,,,,,,20,20,100,100,0,0,0
neg_01254,400.306632,1.084429,,,,,,,,2,20,10,100,0,0,0
neg_01255,239.237710,1.161048,,,,,,,,20,20,100,100,0,0,0
neg_01256,188.891273,13.971833,,,,,,,,20,20,100,100,0,0,0
neg_01257,407.219763,1.256978,,,,,,,,20,20,100,100,0,0,0
neg_01258,111.937283,5.640289,,,,,,,,12,20,60,100,0,0,0
neg_01259,227.960336,4.869191,,,,,,,,9,20,45,100,0,0,0
neg_01260,157.159435,1.124946,,,,,,,,11,20,55,100,0,0,0
neg_01261,206.012516,2.237880,,,,,,,,15,20,75,100,0,0,0
neg_01262,185.074445,1.141696,,,,,,,,14,20,70,100,0,0,0
neg_01263,118.941853,6.590820,,,,,,,,20,20,100,100,0,0,0
neg_01265,383.113625,4.313241,S-(5'-adenosyl)-L-homocysteine,S-(5'-adenosyl)-L-Homocysteine,1A,C14H20N6O5S,C00021,HMDB0000939,439155,18,20,90,100,0,1,1
neg_01266,313.968526,5.734337,,,,,,,,17,20,85,100,0,0,0
neg_01267,136.862827,4.210522,,,,,,,,20,20,100,100,0,0,0
neg_01269,155.985586,1.195246,,,,,,,,6,20,30,100,0,0,0
neg_01272,138.889826,4.200581,,,,,,,,20,20,100,100,0,0,0
neg_01274,119.001421,14.567012,,,,,,,,20,20,100,100,0,0,0
neg_01275,229.144239,1.121013,,,,,,,,18,20,90,100,0,0,0
neg_01276,224.835527,2.992928,,,,,,,,18,20,90,100,0,0,0
neg_01277,107.996357,4.297302,,,,,,,,17,20,85,100,0,0,0
neg_01278,187.060879,4.331904,,,,,,,,3,20,15,100,0,0,0
neg_01280,242.175901,2.020775,,,,,,,,15,20,75,100,0,0,0
neg_01282,350.050341,2.461893,,,,,,,,6,19,30,95,0,0,0
neg_01284,298.962164,3.284329,,,,,,,,4,7,20,35,0,0,0
neg_01285,270.897936,4.296942,,,,,,,,12,20,60,100,0,0,0
neg_01286,310.113950,4.739768,,,,,,,,15,19,75,95,0,0,0
neg_01287,215.128572,1.184423,,,,,,,,16,20,80,100,0,0,0
neg_01288,394.985001,3.186578,,,,,,,,13,20,65,100,0,0,0
neg_01289,288.985620,2.631030,,,,,,,,20,20,100,100,0,0,0
neg_01290,229.107755,1.252338,,,,,,,,6,20,30,100,0,0,0
neg_01291,244.066947,4.553867,,,,,,,,13,20,65,100,0,0,0
neg_01292,204.999356,5.861537,,,,,,,,19,20,95,100,0,0,0
neg_01294,283.029258,4.465483,,,,,,,,18,20,90,100,0,0,0
neg_01295,224.165320,14.570742,,,,,,,,19,20,95,100,0,0,0
neg_01296,83.013731,4.186631,,,,,,,,20,20,100,100,0,0,0
neg_01297,582.340453,1.307812,,,,,,,,19,20,95,100,0,0,0
neg_01298,266.945869,3.983773,,,,,,,,20,20,100,100,0,0,0
neg_01300,205.031762,4.270107,,,,,,,,2,20,10,100,0,0,0
neg_01301,293.919154,13.946097,,,,,,,,20,20,100,100,0,0,0
neg_01302,130.022437,3.548507,,,,,,,,3,20,15,100,0,0,0
neg_01303,285.125561,1.172507,,,,,,,,14,20,70,100,0,0,0
neg_01305,268.988981,4.087216,,,,,,,,10,20,50,100,0,0,0
neg_01306,440.871840,4.329751,,,,,,,,6,16,30,80,0,0,0
neg_01307,243.195919,1.088245,,,,,,,,20,20,100,100,0,0,0
neg_01308,290.905308,4.310415,,,,,,,,11,20,55,100,0,0,0
neg_01309,225.098986,5.333777,Carnosine,Carnosine,1A,C9H14N4O3,C00386,HMDB0000033,439224,2,20,10,100,0,1,1
neg_01310,335.397264,13.945360,,,,,,,,5,20,25,100,0,0,0
neg_01311,200.978870,1.030083,,,,,,,,13,20,65,100,0,0,0
neg_01312,199.010653,5.355628,,,,,,,,20,20,100,100,0,0,0
neg_01313,72.992989,2.367383,Glyoxylic acid,Glyoxylic acid,1A,C2H2O3,C00048,HMDB0000119,760,5,20,25,100,0,1,1
neg_01314,272.053887,4.256743,,,,,,,,20,20,100,100,0,0,0
neg_01316,105.019136,3.603717,Glycerate,Glycerate,1A,C3H6O4,C00258,HMDB0000139,439194,17,20,85,100,0,1,1
neg_01317,253.926685,13.954900,,,,,,,,20,20,100,100,0,0,0
neg_01318,324.879386,4.133173,,,,,,,,7,20,35,100,0,0,0
neg_01319,108.901749,4.298876,,,,,,,,18,20,90,100,0,0,0
neg_01320,368.975932,1.014178,,,,,,,,3,20,15,100,0,0,0
neg_01321,196.059015,2.092479,,,,,,,,3,20,15,100,0,0,0
neg_01322,356.914954,4.310460,,,,,,,,5,16,25,80,0,0,0
neg_01326,112.999063,4.417928,,,,,,,,15,20,75,100,0,0,0
neg_01329,810.528041,0.974220,,,,,,,,16,20,80,100,0,0,0
neg_01330,225.149413,1.119839,,,,,,,,18,20,90,100,0,0,0
neg_01331,175.062458,4.724789,,,,,,,,17,20,85,100,0,0,0
neg_01332,199.969005,5.734983,Cysteine-s-sulfate,L-Cysteine-S-sulfate,1B,C3H7NO5S2,,HMDB0000731,115015,20,20,100,100,0,1,1
neg_01333,341.195197,1.014908,,,,,,,,5,20,25,100,0,0,0
neg_01334,102.019510,4.292076,,,,,,,,9,20,45,100,0,0,0
neg_01335,346.890309,4.313383,,,,,,,,6,19,30,95,0,0,0
neg_01336,278.927950,4.310344,,,,,,,,6,18,30,90,0,0,0
neg_01339,244.905342,14.289118,,,,,,,,20,20,100,100,0,0,0
neg_01342,190.071819,2.401637,,,,,,,,20,20,100,100,0,0,0
neg_01344,310.934561,13.953953,,,,,,,,19,20,95,100,0,0,0
neg_01345,191.840167,4.286043,,,,,,,,12,20,60,100,0,0,0
neg_01346,450.262079,1.278064,,,,,,,,19,20,95,100,0,0,0
neg_01349,163.076241,1.204548,,,,,,,,17,20,85,100,0,0,0
neg_01354,238.976753,5.678718,,,,,,,,17,20,85,100,0,0,0
neg_01355,299.148707,1.082685,,,,,,,,8,20,40,100,0,0,0
neg_01356,164.993844,1.982092,,,,,,,,17,20,85,100,0,0,0
neg_01359,205.072100,4.867932,,,,,,,,7,20,35,100,0,0,0
neg_01360,127.112604,1.165564,,,,,,,,18,20,90,100,0,0,0
neg_01361,126.995525,1.490789,,,,,,,,17,20,85,100,0,0,0
neg_01362,306.921200,13.902596,,,,,,,,20,20,100,100,0,0,0
neg_01365,266.928711,13.943995,,,,,,,,20,20,100,100,0,0,0
neg_01367,147.962624,13.961078,,,,,,,,20,20,100,100,0,0,0
neg_01368,556.302941,1.091064,,,,,,,,5,20,25,100,0,0,0
neg_01369,387.877819,13.934297,,,,,,,,5,20,25,100,0,0,0
neg_01370,137.096953,1.234386,,,,,,,,6,20,30,100,0,0,0
neg_01371,379.908528,4.317177,,,,,,,,4,13,20,65,0,0,0
neg_01372,209.094466,1.127482,,,,,,,,10,20,50,100,0,0,0
neg_01374,118.942002,8.883234,,,,,,,,20,20,100,100,0,0,0
neg_01375,526.827585,13.941735,,,,,,,,5,20,25,100,0,0,0
neg_01376,270.888393,6.614801,,,,,,,,19,20,95,100,0,0,0
neg_01377,163.993913,13.937237,,,,,,,,20,20,100,100,0,0,0
neg_01378,157.050349,1.272603,,,,,,,,8,20,40,100,0,0,0
neg_01379,140.919095,3.995427,,,,,,,,20,20,100,100,0,0,0
neg_01380,390.980843,5.284732,,,,,,,,20,20,100,100,0,0,0
neg_01381,200.002024,2.193593,,,,,,,,11,20,55,100,0,0,0
neg_01382,168.963262,6.458459,,,,,,,,20,20,100,100,0,0,0
neg_01383,262.943051,2.979222,,,,,,,,19,20,95,100,0,0,0
neg_01384,292.942487,4.862786,,,,,,,,4,16,20,80,0,0,0
neg_01385,234.913386,5.567634,,,,,,,,16,20,80,100,0,0,0
neg_01386,110.024505,2.059638,,,,,,,,4,20,20,100,0,0,0
neg_01387,266.998035,4.152713,,,,,,,,9,20,45,100,0,0,0
neg_01389,316.915870,2.329270,,,,,,,,5,20,25,100,0,0,0
neg_01390,449.860134,13.934348,,,,,,,,13,20,65,100,0,0,0
neg_01391,181.000152,4.153897,,,,,,,,8,20,40,100,0,0,0
neg_01392,338.894251,4.311891,,,,,,,,7,18,35,90,0,0,0
neg_01394,211.083350,4.234628,,,,,,,,20,20,100,100,0,0,0
neg_01396,218.030182,4.932712,,,,,,,,9,20,45,100,0,0,0
neg_01397,240.870520,7.224075,,,,,,,,20,20,100,100,0,0,0
neg_01398,74.014470,5.339833,,,,,,,,20,20,100,100,0,0,0
neg_01399,264.038234,5.236838,,,,,,,,11,20,55,100,0,0,0
neg_01400,177.091850,1.169952,,,,,,,,12,20,60,100,0,0,0
neg_01401,334.879254,5.593025,,,,,,,,3,19,15,95,0,0,0
neg_01402,98.973704,5.602476,,,,,,,,17,20,85,100,0,0,0
neg_01403,88.779675,2.608556,,,,,,,,19,20,95,100,0,0,0
neg_01405,406.147773,4.125443,,,,,,,,16,20,80,100,0,0,0
neg_01407,297.279559,1.052765,,,,,,,,2,20,10,100,0,0,0
neg_01408,142.916975,3.997065,,,,,,,,20,20,100,100,0,0,0
neg_01409,237.008066,3.373397,,,,,,,,7,20,35,100,0,0,0
neg_01410,191.055725,4.812634,,,,,,,,15,20,75,100,0,0,0
neg_01411,122.975579,2.751074,,,,,,,,10,20,50,100,0,0,0
neg_01412,146.024545,1.448138,,,,,,,,8,20,40,100,0,0,0
neg_01413,846.583891,1.097579,,,,,,,,19,20,95,100,0,0,0
neg_01414,178.843827,3.972525,,,,,,,,20,20,100,100,0,0,0
neg_01415,104.026192,3.175849,,,,,,,,6,20,30,100,0,0,0
neg_01416,202.108206,3.149804,O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,1A,C9H17NO4,C02571,HMDB0000201,7045767,18,20,90,100,0,1,1
neg_01417,187.072113,3.056106,,,,,,,,20,20,100,100,0,0,0
neg_01419,412.965892,1.015035,,,,,,,,3,20,15,100,0,0,0
neg_01420,174.953915,4.293002,,,,,,,,13,20,65,100,0,0,0
neg_01421,381.109604,4.836122,,,,,,,,20,20,100,100,0,0,0
neg_01422,269.013732,4.220198,,,,,,,,11,20,55,100,0,0,0
neg_01423,157.050293,4.327484,,,,,,,,7,20,35,100,0,0,0
neg_01424,189.843137,4.305669,,,,,,,,12,20,60,100,0,0,0
neg_01426,197.117978,1.185296,,,,,,,,18,20,90,100,0,0,0
neg_01427,128.871273,4.310708,,,,,,,,10,19,50,95,0,0,0
neg_01428,270.888397,5.532224,,,,,,,,8,20,40,100,0,0,0
neg_01431,198.892955,5.594998,,,,,,,,11,20,55,100,0,0,0
neg_01434,253.809098,3.028524,,,,,,,,18,20,90,100,0,0,0
neg_01437,80.974720,4.272973,,,,,,,,16,20,80,100,0,0,0
neg_01438,604.325060,1.236694,,,,,,,,20,20,100,100,0,0,0
neg_01440,213.013110,2.918319,,,,,,,,14,20,70,100,0,0,0
neg_01441,167.931410,2.461255,,,,,,,,3,14,15,70,0,0,0
neg_01442,432.087400,4.929830,,,,,,,,20,20,100,100,0,0,0
neg_01443,91.003566,3.038917,,,,,,,,4,20,20,100,0,0,0
neg_01445,288.071101,2.469164,,,,,,,,20,20,100,100,0,0,0
neg_01446,328.878645,13.941052,,,,,,,,20,20,100,100,0,0,0
neg_01447,259.021977,6.091967,D-Glucose-6-phosphate;Alpha-D-Galactose 1-phosphate;D-Mannose 6-phosphate;D-Fructose 6-Phosphate,D-Glucose-6-phosphate|Alpha-D-Galactose 1-phosphate|D-Mannose 6-phosphate|D-Fructose 6-phosphate,1A|1A|1A|1A,C6H13O9P|C6H13O9P|C6H13O9P|C6H13O9P,C00668|C00446|C00275|C00085,HMDB0001401|HMDB0000645|HMDB0001078|HMDB0000124,439958|123912|65127|69507,19,20,95,100,0,1,1
neg_01448,190.017726,2.414343,,,,,,,,19,20,95,100,0,0,0
neg_01449,161.008937,4.293418,,,,,,,,18,20,90,100,0,0,0
neg_01451,136.961802,5.627384,,,,,,,,20,20,100,100,0,0,0
neg_01452,180.841956,3.984207,,,,,,,,20,20,100,100,0,0,0
neg_01454,201.149367,1.133348,,,,,,,,14,20,70,100,0,0,0
neg_01455,334.094639,4.292788,,,,,,,,19,20,95,100,0,0,0
neg_01456,203.092249,4.244345,,,,,,,,14,20,70,100,0,0,0
neg_01457,274.177005,4.753987,,,,,,,,16,20,80,100,0,0,0
neg_01458,110.024582,1.305364,,,,,,,,2,20,10,100,0,0,0
neg_01460,323.881027,4.123867,,,,,,,,4,18,20,90,0,0,0
neg_01461,166.075328,4.600410,,,,,,,,15,20,75,100,0,0,0
neg_01464,182.910080,14.576402,,,,,,,,20,20,100,100,0,0,0
neg_01465,112.999161,3.058017,,,,,,,,18,20,90,100,0,0,0
neg_01466,256.919072,2.458686,,,,,,,,2,12,10,60,0,0,0
neg_01467,212.839035,4.356404,,,,,,,,7,20,35,100,0,0,0
neg_01468,251.003233,5.332343,,,,,,,,19,20,95,100,0,0,0
neg_01469,367.104519,4.866899,,,,,,,,15,19,75,95,0,0,0
neg_01470,265.042178,6.093077,D-Fructose-6-phosphate (13C6),,9X,,,,,0,18,0,90,1,1,0
neg_01471,471.953615,4.335851,,,,,,,,2,20,10,100,0,0,0
neg_01472,187.108529,2.207199,,,,,,,,20,20,100,100,0,0,0
neg_01474,233.336498,1.255674,,,,,,,,4,14,20,70,0,0,0
neg_01475,321.209991,1.035255,,,,,,,,12,20,60,100,0,0,0
neg_01476,173.081550,3.967417,Suberic acid,Suberic acid,1A,C8H14O4,C08278,HMDB0000893,10457,20,20,100,100,0,1,1
neg_01481,115.020528,2.658245,,,,,,,,20,20,100,100,0,0,0
neg_01482,119.010154,1.322942,,,,,,,,6,20,30,100,0,0,0
neg_01483,154.014318,5.331146,,,,,,,,20,20,100,100,0,0,0
neg_01484,222.885062,14.499253,,,,,,,,20,20,100,100,0,0,0
neg_01485,99.081395,1.170528,,,,,,,,11,20,55,100,0,0,0
neg_01486,375.949322,5.007771,,,,,,,,3,19,15,95,0,0,0
neg_01489,227.080134,4.252698,,,,,,,,6,15,30,75,0,0,0
neg_01490,606.073693,5.293772,Uridine 5'-diphospho-n-acetylgalactosamine;Uridine 5'-diphospho-n-acetylglucosamine,Uridine 5'-diphospho-n-acetylgalactosamine|Uridine 5'-diphospho-n-acetylglucosamine,1A|1A,C17H27N3O17P2|C17H27N3O17P2,C00203|C00043,HMDB0000304|HMDB0000290,23700|445675,19,20,95,100,0,1,1
neg_01492,190.035458,3.700463,,,,,,,,20,20,100,100,0,0,0
neg_01493,160.061277,4.253604,N-Methyl-L-Glutamate,N-Methyl-L-Glutamic acid,1B,C6H11NO4,C01046,HMDB0062660,439377,14,20,70,100,0,1,1
neg_01494,313.237801,1.086113,,,,,,,,20,20,100,100,0,0,0
neg_01495,347.039509,5.380042,Inosine 5'-phosphate,Inosine 5'-phosphate,1A,C10H13N4O8P,C00130,HMDB0000175,135398640,19,20,95,100,0,1,1
neg_01496,255.109626,3.280642,,,,,,,,20,20,100,100,0,0,0
neg_01497,691.454833,0.979758,,,,,,,,5,20,25,100,0,0,0
neg_01499,316.901518,4.319414,,,,,,,,7,18,35,90,0,0,0
neg_01500,226.012123,4.244285,,,,,,,,20,20,100,100,0,0,0
